ID,CIPFAMILY,CIPCode,ACTIONCODE,ReportUnder,CIPTITLE,CIPDESCR,AuditChangeUserName,AuditChangeDate
180,03,03.0502,,,Forest Sciences and Biology.,"A program that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources.  Includes instruction in forest biology, forest hydrology, forest mensuration, silviculture, forest soils, water resources, environmental science, forest resources management, and wood science.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
181,03,-----,,01.12,Soil Sciences.,(Report under 01.12 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
182,03,-----,,01.11,Plant Sciences.,(Report under 01.11 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
183,03,-----,,26.03,Botany.,(Report under 26.03 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
184,03,-----,,26.1301,Ecology.,(Report under 26.1301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
185,03,-----,,03.0103,Environmental Studies.,(Report under 03.0103),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
186,03,-----,,26.08,Genetics.,(Report under 26.08 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
187,03,03.0506,,,Forest Management/Forest Resources Management.,"A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
188,03,-----,,1. 0301,"Park, Recreation and Leisure Facilities Management.",(Report under 31. 0301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
189,03,03.0508,N,,Urban Forestry.,"(NEW)  A program that prepares individuals to apply the principles of forestry and related sciences to the development, care, and maintenance of individual trees and forested areas within or close to areas of dense human habitation.  Includes instruction in urban environments; effects of pollution on tree species; environmental design and landscaping; urban pest infestation; urban forest management; and applicable policies and regulations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
190,03,03.0509,,,Wood Science and Wood Products/Pulp and Paper Technology.,"A program that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products.  Includes instruction in wood classification and testing, product development, manufacturing and processing technologies, and the design and development of related equipment and systems.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
191,03,-----,,14.3401,Forest Engineering.,(Report under 14.3401),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
192,03,03.0510,N,,Forest Resources Production and Management.,"(NEW)   A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
193,03,03.0511,N,,Forest Technology/Technician.,"(NEW)   A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
194,03,03.0599,,,"Forestry, Other.",Any program in forestry not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
195,03,03.06,,,Wildlife and Wildlands Science and Management.,Instructional content is defined in code 03.0601.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
196,03,03.0601,,,Wildlife and Wildlands Science and Management.,"A program that prepares individuals to conserve and manage wilderness areas and the flora and fauna therein, and manage wildlife reservations and zoological facilities for recreational, commercial, and ecological purposes.  Includes instruction in wildlife biology; environmental science; natural resources management and policy; outdoor recreation and parks management; the design and operation of natural and artificial wildlife habitats; applicable law and regulations; and related administrative and communications skills.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
197,03,-----,,01.1106,Range Science and Management.,(Report under 01.1106),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
198,03,-----,,31.0301,"Parks, Recreation and Leisure Facilities Management.",(Report under 31.0301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
199,03,-----,,26.0709,Wildlife Biology.,(Report under 26.0709),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
200,03,-----,,26.07,Zoology.,(Report under 26.07 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
201,03,03.99,,,"Natural Resources and Conservation, Other.",Instructional content is defined in code 03.9999.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
202,03,03.9999,,,"Natural Resources and Conservation, Other.",Any instructional program in natural resources and conservation not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
203,04,04.,,,ARCHITECTURE AND RELATED SERVICES.,Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
204,04,04.02,,,Architecture.,Instructional content is defined in code 04.0201.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
205,04,04.0201,,,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD).","A program that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field.  Includes instruction in architectural design, history, and theory; building structures and environmental systems; project and site planning; construction; professional responsibilities and standards; and related cultural, social, economic, and environmental issues.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
206,04,-----,,14.0401,Architectural Engineering.,(Report under 14.0401),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
207,04,-----,,14.3301,Construction Engineering.,(Report under 14.3301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
208,04,-----,,15.0101,Architectural Engineering Technology/Technician.,(Report under 15.0101),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
209,04,-----,,15.1001,Construction/Engineering Technology/Technician.,(Report under 15.1001),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
210,04,-----,,15.1303,Architectural Drafting.,(Report under 15.1303),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
211,04,04.03,,,"City/Urban, Community and Regional Planning.",Instructional content is defined in code 04.0301.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
212,04,04.0301,,,"City/Urban, Community and Regional Planning.","A program that prepares individuals to apply principles of planning, analysis, and architecture to the development and improvement of urban areas and surrounding regions, and to function as professional planners.  Includes instruction in principles of architecture; master plan development; service, communications, and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
213,04,-----,,45.1201,Urban Studies/Affairs.,(Report under 45.1201),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
214,04,04.04,,,Environmental Design.,Instructional content is defined in 04.0401.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
215,04,04.0401,,,Environmental Design/Architecture.,"A program that prepares individuals to design public and private spaces, indoor and outdoor, for leisure, recreational, commercial, and living purposes, and for professional practice as environmental designers and architects.  Includes instruction in the design and planning of public and private open spaces and their relationship to buildings and other aspects of the built environment; facilities management; related aspects of interior design and architecture, landscape architecture, and urban planning; and professional responsibilities and standards.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
216,04,-----,,19.0601,Housing and Human Environments.,(Report under 19.0601),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
217,04,-----,,50.0408,Interior Design.,(Report under 50.0408),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
218,04,04.05,,,Interior Architecture.,Instructional content is defined in code 04.0501.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
219,04,04.0501,,,Interior Architecture.,"A program that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects.  Includes instruction in architecture, structural systems design, heating and cooling systems, occupational and safety standards, interior design, specific end-use applications, and professional responsibilities and standards.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
220,04,-----,,19.0601,Housing and Human Environments.,(Report under 19.0601),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
221,04,-----,,50.0408,Interior Design.,(Report under 50.0408),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
222,04,04.06,,,Landscape Architecture.,Instructional content is defined in code 04.0601.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
223,04,04.0601,,,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD).","A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project and site planning; landscape design, history, and theory; environmental design; applicable law and regulations; and professional responsibilities and standards.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
224,04,-----,,01.0605,Landscaping and Groundskeeping.,(Report under 01.0605),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
225,04,-----,,01.0607,Turf/Turfgrass Management.,(Report under 01.0607),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
226,04,04.07,D,,Architectural Urban Design and Planning.,(Deleted),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
227,04,04.0701,D,,Architectural Urban Design and Planning.,"(Deleted, Report under 04.0301)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
228,04,04.08,N,,Architectural History and Criticism.,(NEW)   Instructional content is defined in code 04.0801.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
229,04,04.0801,N,,"Architectural History and Criticism, General.","(NEW)   A general program that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period, cultural, and stylistic specializations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
230,04,-----,,30.1201,Historic Preservation and Conservation.,(Report under 30.1201),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
231,04,-----,,30.1202,Cultural Resource Management and Policy Analysis.,(Report under 30.1202),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
232,04,-----,,54.0104,History of Science and Technology.,(Report under 54.0104),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
233,04,-----,,50.0703,"Art History, Criticism and Conservation.",(Report under 50.0703),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
234,04,04.09,N,,Architectural Technology/Technician.,(NEW)   Instructional content is defined in code 04.0901.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
235,04,04.0901,N,,Architectural Technology/Technician.,"(NEW)   A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting, computer-assisted drafting and design, construction methods and materials, environmental systems, building codes and standards, structural principles, cost estimation, planning documentation, visual communication skills, display production, and architectural office management.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
236,04,04.99,,,"Architecture and Related Services, Other.",Instructional content is defined in code 04.9999.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
238,04,04.9999,,,"Architecture and Related Services, Other.",Any instructional program in architecture and related programs not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
239,05,05.,,,"AREA, ETHNIC, CULTURAL, AND GENDER STUDIES.","Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender experience.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
240,05,05.01,,,Area Studies.,Instructional content for this group of programs is defined in codes 05.0101- 05.0199.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
241,05,-----,,16.,FOREIGN LANGUAGES AND LITERATURES AND LINGUISTICS.,(Report under 16. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
242,05,-----,,45.,SOCIAL SCIENCES.,(Report under 45. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
243,05,-----,,54.,HISTORY.,(Report under 54. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
244,05,05.0101,,,African Studies.,"A program that focuses on the history, society, politics, culture, and economics of one or more of the peoples of the African Continent, usually with an emphasis on Africa south of the Sahara, and including the African diaspora overseas.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
245,05,-----,,16.0201,"African Languages, Literatures, and Linguistics.",(Report under 16.0201),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
246,05,05.0102,,,American/United States Studies/Civilization.,"A program that focuses on the history, society, politics, culture, and economics of the United States and its Pre-Columbian and colonial predecessors, and including the flow of immigrants from other societies.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
247,05,-----,,23.0701,American Literature (United States).,(Report under 23.0701),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
248,05,-----,,54.0102,American History (United States).,(Report under 54.0102),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
1,01,01.,,,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
2,01,-----,,19.,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,(Report under 19. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
3,01,-----,,26.,BIOLOGICAL AND BIOMEDICAL SCIENCES.,(Report under 26. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
4,01,01.00,N,,"Agriculture, General.",(NEW)   Instructional content is defined in code 01.0000.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
5,01,01.0000,M,,"Agriculture, General.","A program that focuses on the general principles and practice of agricultural research and production and that may prepare individuals to apply this knowledge to the solution of practical agricultural problems.  Includes instruction in basic animal, plant, and soil science; animal husbandry and plant cultivation; soil conservation; and agricultural operations such as farming, ranching, and agricultural business.  (Moved from 02.0101)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
6,01,01.01,,,Agricultural Business and Management.,Instructional content for this group of programs is defined in codes 01.0101-01.0199.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
7,01,01.0101,,,"Agricultural Business and Management, General.","A  general program that focuses on modern business and economic principles involved in the organization, operation, and management of agricultural enterprises.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
8,01,----,,,"Business Administration and Management, General.",(See also 52.0201),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
9,01,01.0102,,,Agribusiness/Agricultural Business Operations.,"A program that prepares individuals to manage agricultural businesses and agriculturally related operations within diversified corporations.  Includes instruction in agriculture, agricultural specialization, business management, accounting, finance, marketing, planning, human resources management, and other managerial responsibilities.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
10,01,-----,,,Operations Management and Supervision.,(See also 52.0205),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
11,01,01.0103,,,Agricultural Economics.,"A program that focuses on the application of economics to the analysis of resource allocation, productivity, investment, and trends in the agricultural sector, both domestically and internationally.  Includes instruction in economics and related subfields as well as applicable agricultural fields.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
12,01,-----,,03.0204,Natural Resource Economics.,(Report under 03.0204),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
13,01,-----,,45.0602,Applied Economics.,(Report under 45.0602),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
14,01,01.0104,,,Farm/Farm and Ranch Management.,"A program that prepares individuals to manage farms, ranches, and similar enterprises.  Includes instruction in applicable agricultural specialization, business management, accounting, taxation, capitalization, purchasing, government programs and regulations, operational planning and budgeting, contracts and negotiation, and estate planning.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
15,01,-----,,52.0701,Entrepreneurship/Entrepreneurial Studies.,(Report under 52.0701),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
16,01,-----,,52.0703,Small Business Management.,(Report under 52.0703),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
17,01,01.0105,M,,Agricultural/Farm Supplies Retailing and Wholesaling.,"A program  that prepares individuals to sell agricultural products and supplies, provide support services to agricultural enterprises, and purchase and market agricultural products.  Includes instruction in basic business management, marketing, retailing and wholesaling operations, and applicable principles of agriculture and agricultural operations. (Moved from 01.0501)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
18,01,01.0106,N,,Agricultural Business Technology.,"(NEW)   A program that prepares individuals to perform specialized support functions related to agricultural business offices and operations and to operate agricultural office equipment, software, and information systems.  Includes instruction in basic agricultural business principles, office management, equipment operation, standard software, and database management.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
19,01,01.0199,,,"Agricultural Business and Management, Other.",Any instructional program in agricultural business and management not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
20,01,01.02,,,Agricultural Mechanization.,Instructional content for this group of programs is defined in codes 01.0201-01.0299.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
21,01,01.0201,,,"Agricultural Mechanization, General.","A program that generally prepares individuals to sell, select, and service agricultural or agribusiness technical equipment and facilities, including computers, specialized software, power units, machinery, equipment structures, and utilities.  Includes instruction in agricultural power systems; planning and selecting materials for the construction of support facilities; mechanical practices associated with irrigation and water conservation; erosion control; and agricultural data processing systems.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
22,01,-----,,14.0301,Agricultural Engineering.,(Report under 14.0301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
23,01,-----,,01.10,Agricultural Technology.,(Report under 01.10 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
24,01,01.0204,,,Agricultural Power Machinery Operation.,"A program that prepares individuals to operate specialized farm, ranch, and agribusiness power equipment of a stationary, mobile, and/or hand-operated nature.  Includes instruction in operating specialized equipment such as terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos, irrigation, pumping, and applications such as dairy, feeding and, shearing operations; processing equipment; and applicable electrical, mechanical, and safety principles.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
25,01,-----,,49.,Transportation and Materials Moving Services.,(Report under 49. Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
26,01,01.0205,N,,Agricultural Mechanics and Equipment/Machine Technology.,"(NEW) A program that prepares individuals to maintain and repair specialized farm, ranch, and agribusiness power equipment and vehicles.  Includes instruction in the principles of diesel, combustion, electrical, steam, hydraulic, and mechanical systems and their application to the maintenance of terrestrial and airborne crop spraying equipment; tractors and hauling equipment; planting and harvesting equipment; cutting equipment; power sources and systems for silos; irrigation and pumping equipment; dairy, feeding and, shearing operations; and processing systems.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
27,01,-----,,47.06,Vehicle Maintenance and Repair Technologies.,(Report under 47.06 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
28,01,01.0299,,,"Agricultural Mechanization, Other.",Any instructional program in agricultural mechanization not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
29,01,01.03,,,Agricultural Production Operations.,Instructional content for this group of programs is defined in codes 01.0301-01.0399.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
30,01,01.0301,,,"Agricultural Production Operations, General.","A program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labor, and capital to produce plant and animal products, and that may prepare individuals for work in farming, ranching, and agribusiness.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
31,01,01.0302,,,Animal/Livestock Husbandry and Production.,"A program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals.  Includes instruction in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
32,01,01.0303,,,Aquaculture.,"A program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater.  Includes instruction in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
33,01,-----,,03.0301,Fishing and Fisheries Science and Management.,(Report under 03.0301),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
34,01,-----,,26.1302,Marine Biology and Biological Oceanography.,(Report under 26.1302),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
35,01,-----,,26.1304,Aquatic Biology/Limnology.,(Report under 26.1304),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
36,01,-----,,49.0303,Commercial Fishing.,(Report under 49.0303),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
37,01,01.0304,,,Crop Production.,"A program that prepares individuals to cultivate grain, fiber, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products.  Includes instruction in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
38,01,01.0306,N,,Dairy Husbandry and Production.,"(NEW)  A program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations.  Includes instruction in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
39,01,01.0307,N,,Horse Husbandry/Equine Science and Management.,"(NEW)   A program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and horse farms, stables, tracks and related equipment and operations.  Includes instruction in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
40,01,01.0399,,,"Agricultural Production Operations, Other.",Any instructional program in agricultural production operations not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
41,01,01.04,,,Agricultural and Food Products Processing.,Instructional content is defined in code 01.0401.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
42,01,01.0401,,,Agricultural and Food Products Processing.,"A program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products.  Includes instruction in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
43,01,01.05,,,Agricultural and Domestic Animal Services.,Instructional content for this group of programs is defined in codes 01.0504-01.0599.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
44,01,-----,,51.24,Veterinary Medicine (DVM).,(Report under 51.24 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
45,01,01.0501,M,,Agricultural/Farm Supplies Retailing and Wholesaling.,"(Moved, Report under 01.0105)",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
46,01,01.0504,N,,Dog/Pet/Animal Grooming.,"(NEW)  A program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes.  Includes instruction in skin, coat, and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
47,01,------,,12.04,Cosmetology and Related Personal Grooming Services.,(Report under 12.04 Series),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
48,01,01.0505,,,Animal Training.,"A program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes.  Includes instruction in animal psychology, health, and safety; human-animal interaction; learning and behavior styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, care-giving (e.g., seeing-eye dogs), search and rescue, and police/security work.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
49,01,01.0507,,,Equestrian/Equine Studies.,"A program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders.  Includes instruction in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
50,01,-----,,51.0808,Veterinary/Animal Health Technician/Assistant.,(Report under 51.0808),CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
51,01,01.0508,N,,Taxidermy/Taxidermist.,"(NEW)   A program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses.  Includes instruction in specimen grading and selection, caping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, molding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations.",CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
52,01,01.0599,,,"Agricultural and Domestic Animal Services, Other.",Any instructional program in agricultural and domestic animal services not listed above.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
53,01,01.06,,,Applied Horticulture and Horticultural Business Services.,Instructional content for this group of programs is defined in codes 01.0601-01.0699.,CWOPA\c-daniwels,2017-09-21 15:42:53.8274772
