Source,SourceYear,LookupName,LookupCd,LookupDesc,LookupCategory1,LookupCategory2,LookupCategory3
CCD_SCHOOL,2015,TITLEISTAT,5,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,NA,NA,NA
CCD_SCHOOL,2015,TITLEISTAT,6,School is not eligible for either Title I Targeted Assistance (TAS ) or Schoolwide program,NA,NA,NA
CENSUS,2014,AGE RANGE,1824,18 to 24 Years,College Age,NA,NA
CENSUS,2014,AGE RANGE,2534,25 to 34 Years,Working Age,NA,NA
CENSUS,2014,AGE RANGE,3544,35 to 44 Years,Working Age,NA,NA
CENSUS,2014,AGE RANGE,4564,45 to 64 Years,Working Age,NA,NA
CENSUS,2014,AGE RANGE,65,65 Years and over,Retirement Age,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,ASSOC,Associate's Degree,NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,BACH,Bachelor's Degree,NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,HSG,High School Graduate (includes equivalency),NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,LT9,Less than 9th Grade,NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,POSTBACH,Graduate or Professional Degree,NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,SCND,"Some College, No Degree",NA,NA,NA
CENSUS,2014,EDUCATIONAL ATTAINMENT,SHS,"9th to 12th Grade, No Diploma",NA,NA,NA
IC,2017,CharterStatusCode,1,Active,NA,NA,NA
IC,2017,CharterStatusCode,2,Revoked,NA,NA,NA
IC,2017,CharterStatusCode,3,Not Renewed,NA,NA,NA
IC,2017,CharterStatusCode,4,Withdrawn,NA,NA,NA
IC,2017,CharterStatusCode,5,Other,NA,NA,NA
IC,2017,InstCtgyCode,1,School District,B,NA,NA
IC,2017,InstCtgyCode,10,"Nonpublic, Non-Licensed School (Out-of-State)",B,NA,NA
IC,2017,InstCtgyCode,11,Diocese,B,NA,NA
IC,2017,InstCtgyCode,12,"Licensed, Private Academic School",B,NA,NA
IC,2017,InstCtgyCode,13,"Private School/Spec Ed (Out-of-State)   ",B,NA,NA
IC,2017,InstCtgyCode,14,Approved Private School,B,NA,NA
IC,2017,InstCtgyCode,15,Private Driver Training School,B,NA,NA
IC,2017,InstCtgyCode,17,"Other Private, Non-Licensed Entity",B,NA,NA
IC,2017,InstCtgyCode,18,Private Residential Rehabilitation Institution,B,NA,NA
IC,2017,InstCtgyCode,19,"Municipality                            ",B,NA,NA
IC,2017,InstCtgyCode,2,Intermediate Unit,B,NA,NA
IC,2017,InstCtgyCode,20,Miscellaneous,B,NA,NA
IC,2017,InstCtgyCode,21,Service Delivery Area,B,NA,NA
IC,2017,InstCtgyCode,22,Library,B,NA,NA
IC,2017,InstCtgyCode,23,Workforce Investment Board,B,NA,NA
IC,2017,InstCtgyCode,24,"Regular Elementary                      ",S,NA,NA
IC,2017,InstCtgyCode,25,Regular Secondary,S,NA,NA
IC,2017,InstCtgyCode,26,Regular Elementary/Secondary,S,NA,NA
IC,2017,InstCtgyCode,27,Comprehensive CTC,S,NA,NA
IC,2017,InstCtgyCode,28,Occupational CTC,S,NA,NA
IC,2017,InstCtgyCode,29,Adult CTC,S,NA,NA
IC,2017,InstCtgyCode,3,Career and Technical Center,B,NA,NA
IC,2017,InstCtgyCode,30,Special Education,S,NA,NA
IC,2017,InstCtgyCode,31,State Operated Educational Facility,S,NA,NA
IC,2017,InstCtgyCode,32,State University,P,NA,NA
IC,2017,InstCtgyCode,33,State-Related Commonwealth University,P,NA,NA
IC,2017,InstCtgyCode,34,"Community College          ",P,NA,NA
IC,2017,InstCtgyCode,35,Private State-Aided Institution,P,NA,NA
IC,2017,InstCtgyCode,36,Private College and University,P,NA,NA
IC,2017,InstCtgyCode,37,Theological Seminary,P,NA,NA
IC,2017,InstCtgyCode,38,Private Two-Year College,P,NA,NA
IC,2017,InstCtgyCode,4,"Charter School                          ",B,NA,NA
IC,2017,InstCtgyCode,40,"College of Technology                   ",P,NA,NA
IC,2017,InstCtgyCode,44,Private Licensed School,P,NA,NA
IC,2017,InstCtgyCode,45,Other Approved School,P,NA,NA
IC,2017,InstCtgyCode,46,Administrative Office,P,NA,NA
IC,2017,InstCtgyCode,47,Other College and University,P,NA,NA
IC,2017,InstCtgyCode,48,Other Post Secondary,P,NA,NA
IC,2017,InstCtgyCode,49,Act 48 Independent Provider,B,NA,NA
IC,2017,InstCtgyCode,5,"State-Owned School                      ",B,NA,NA
IC,2017,InstCtgyCode,50,PDE Division,B,NA,NA
IC,2017,InstCtgyCode,51,Act 48 Collegiate Out-of-State,B,NA,NA
IC,2017,InstCtgyCode,52,Instructional Support System of PA,E,NA,NA
IC,2017,InstCtgyCode,53,Professional Education Association,E,NA,NA
IC,2017,InstCtgyCode,54,State Administrative Entity,E,NA,NA
IC,2017,InstCtgyCode,55,Regular School,S,NA,NA
IC,2017,InstCtgyCode,56,Out Of State College and University,P,NA,NA
IC,2017,InstCtgyCode,57,Authorizing Entity,B,NA,NA
IC,2017,InstCtgyCode,6,"Special Program Jointure                ",B,NA,NA
IC,2017,InstCtgyCode,7,"State Juvenile Correctional Inst        ",B,NA,NA
IC,2017,InstCtgyCode,8,"State Adult Correctional Inst           ",B,NA,NA
IC,2017,InstCtgyCode,9,"Nonpublic, Non-Licensed School",B,NA,NA
IC,2017,RelationTypeCode,1,LEA/Main - School/Branch,NA,NA,NA
IC,2017,RelationTypeCode,2,Institution - Library,NA,NA,NA
IC,2017,RelationTypeCode,3,Provider - Client,NA,NA,NA
IC,2017,RelationTypeCode,4,Diocese - PNP School,NA,NA,NA
IC,2017,RelationTypeCode,5,SD (Location) - Institution,NA,NA,NA
IC,2017,RelationTypeCode,6,IU (Location) - Institution,NA,NA,NA
IC,2017,RelationTypeCode,7,LEA - Merged LEA,NA,NA,NA
IC,2017,RelationTypeCode,8,Authorizing Entity – PNP School,NA,NA,NA
IC,2017,RelationTypeCode,9,New LEA - Prior LEA,NA,NA,NA
IC,2017,StatusCode,1,Open,NA,NA,NA
IC,2017,StatusCode,2,Closed,NA,NA,NA
IC,2017,StatusCode,3,Incomplete,NA,NA,NA
IPEDS_ADM,2014,ADMCON1,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON1,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON1,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON2,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON2,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON2,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON2,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON3,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON3,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON3,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON4,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON4,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON4,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON4,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON5,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON5,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON5,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON5,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON6,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON6,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON6,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON6,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON7,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON7,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON7,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON7,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON8,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON8,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON8,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON8,4,Do not know,NA,NA,NA
IPEDS_ADM,2014,ADMCON9,1,Required,NA,NA,NA
IPEDS_ADM,2014,ADMCON9,2,Recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON9,3,Neither required nor recommended,NA,NA,NA
IPEDS_ADM,2014,ADMCON9,4,Do not know,NA,NA,NA
IPEDS_AL,2014,LCOLELYN,1,Yes,NA,NA,NA
IPEDS_AL,2014,LCOLELYN,2,No,NA,NA,NA
IPEDS_AL,2014,LFRNGBYN,-2,Not applicable,NA,NA,NA
IPEDS_AL,2014,LFRNGBYN,1,Yes,NA,NA,NA
IPEDS_AL,2014,LFRNGBYN,2,No,NA,NA,NA
IPEDS_AL,2014,LSUPPVRS,-2,Not applicable,NA,NA,NA
IPEDS_AL,2014,LSUPPVRS,1,Yes,NA,NA,NA
IPEDS_AL,2014,LSUPPVRS,2,No,NA,NA,NA
IPEDS_CA,2017,CA_CODES,C2MORM,Two or more races men,M,MR,NULL
IPEDS_CA,2017,CA_CODES,C2MORT,Two or more races total,T,MR,NULL
IPEDS_CA,2017,CA_CODES,C2MORW,Two or more races women,F,MR,NULL
IPEDS_CA,2017,CA_CODES,CAIANM,American Indian or Alaska Native men,M,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CAIANT,American Indian or Alaska Native total,T,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CAIANW,American Indian or Alaska Native women,F,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CASIAM,Asian men,M,ASN,NULL
IPEDS_CA,2017,CA_CODES,CASIAT,Asian total,T,ASN,NULL
IPEDS_CA,2017,CA_CODES,CASIAW,Asian women,F,ASN,NULL
IPEDS_CA,2017,CA_CODES,CBKAAM,Black or African American men,M,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CBKAAT,Black or African American total,T,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CBKAAW,Black or African American women,F,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CHISPM,Hispanic men,M,HISP,NULL
IPEDS_CA,2017,CA_CODES,CHISPT,Hispanic total,T,HISP,NULL
IPEDS_CA,2017,CA_CODES,CHISPW,Hispanic women,F,HISP,NULL
IPEDS_CA,2017,CA_CODES,CNHPIM,Native Hawaiian or Other Pacific Islander men,M,NHOPI,NULL
IPEDS_CA,2017,CA_CODES,CNHPIT,Native Hawaiian or Other Pacific Islander total,T,NHOPI,NULL
IPEDS_CA,2017,CA_CODES,CNHPIW,Native Hawaiian or Other Pacific Islander women,F,NHOPI,NULL
IPEDS_CA,2017,CA_CODES,CNRALM,Nonresident alien men,M,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CNRALT,Nonresident alien total,T,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CNRALW,Nonresident alien women,F,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CRACE01,"Nonresident alien men ",M,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CRACE02,Nonresident alien women,F,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CRACE03,"Black non-Hispanic men ",M,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CRACE04,"Black non-Hispanic women ",F,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CRACE05,"American Indian or Alaska Native men ",M,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CRACE06,"American Indian or Alaska Native women ",F,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CRACE07,"Asian or Pacific Islander men ",M,API,NULL
IPEDS_CA,2017,CA_CODES,CRACE08,"Asian or Pacific Islander women ",F,API,NULL
IPEDS_CA,2017,CA_CODES,CRACE09,"Hispanic men ",M,HISP,NULL
IPEDS_CA,2017,CA_CODES,CRACE10,"Hispanic women ",F,HISP,NULL
IPEDS_CA,2017,CA_CODES,CRACE11,"White non-Hispanic men ",M,WH,NULL
IPEDS_CA,2017,CA_CODES,CRACE12,"White non-Hispanic women ",F,WH,NULL
IPEDS_CA,2017,CA_CODES,CRACE13,Race/ethnicity unknown men,M,UNK,NULL
IPEDS_CA,2017,CA_CODES,CRACE14,Race/ethnicity unknown women,F,UNK,NULL
IPEDS_CA,2017,CA_CODES,CRACE15,"Total men ",M,T,NULL
IPEDS_CA,2017,CA_CODES,CRACE16,"Total women ",F,T,NULL
IPEDS_CA,2017,CA_CODES,CRACE17,Nonresident alien total,T,NRAL,NULL
IPEDS_CA,2017,CA_CODES,CRACE18,"Black non-Hispanic  total ",T,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,CRACE19,American Indian or Alaska Native total,T,AIAN,NULL
IPEDS_CA,2017,CA_CODES,CRACE20,"Asian or Pacific Islander total  ",T,API,NULL
IPEDS_CA,2017,CA_CODES,CRACE21,"Hispanic total ",T,HISP,NULL
IPEDS_CA,2017,CA_CODES,CRACE22,"White non-Hispanic total ",T,WH,NULL
IPEDS_CA,2017,CA_CODES,CRACE23,"Race/ethnicity unknown total ",T,UNK,NULL
IPEDS_CA,2017,CA_CODES,CRACE24,"Grand total ",T,T,NULL
IPEDS_CA,2017,CA_CODES,CTOTALM,Grand total men,M,T,NULL
IPEDS_CA,2017,CA_CODES,CTOTALT,Grand total,T,T,NULL
IPEDS_CA,2017,CA_CODES,CTOTALW,Grand total women,W,T,NULL
IPEDS_CA,2017,CA_CODES,CUNKNM,Race/ethnicity unknown men,M,UNK,NULL
IPEDS_CA,2017,CA_CODES,CUNKNT,Race/ethnicity unknown total,T,UNK,NULL
IPEDS_CA,2017,CA_CODES,CUNKNW,Race/ethnicity unknown women,F,UNK,NULL
IPEDS_CA,2017,CA_CODES,CWHITM,White men,M,WH,NULL
IPEDS_CA,2017,CA_CODES,CWHITT,White total,T,WH,NULL
IPEDS_CA,2017,CA_CODES,CWHITW,White women,F,WH,NULL
IPEDS_CA,2017,CA_CODES,DVCAIM,"American Indian or Alaska Native men ",M,AIAN,NULL
IPEDS_CA,2017,CA_CODES,DVCAIT,"American Indian or Alaska Native total ",T,AIAN,NULL
IPEDS_CA,2017,CA_CODES,DVCAIW,"American Indian or Alaska Native women ",F,AIAN,NULL
IPEDS_CA,2017,CA_CODES,DVCAPM,"Asian/Native Hawaiian/Other Pacific Islander men ",M,API,NULL
IPEDS_CA,2017,CA_CODES,DVCAPT,"Asian/Native Hawaiian/Other Pacific Islander total ",T,API,NULL
IPEDS_CA,2017,CA_CODES,DVCAPW,"Asian/Native Hawaiian/Other Pacific Islander women ",F,API,NULL
IPEDS_CA,2017,CA_CODES,DVCBKM,"Black or African American/Black non-Hispanic men ",M,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,DVCBKT,"Black or African American/Black non-Hispanic total ",T,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,DVCBKW,"Black or African American/Black non-Hispanic women ",F,BKAFAM,NULL
IPEDS_CA,2017,CA_CODES,DVCHSM,"Hispanic or Latino/Hispanic  men ",M,HISP,NULL
IPEDS_CA,2017,CA_CODES,DVCHST,"Hispanic or Latino/Hispanic  total ",T,HISP,NULL
IPEDS_CA,2017,CA_CODES,DVCHSW,"Hispanic or Latino/Hispanic  women ",F,HISP,NULL
IPEDS_CA,2017,CA_CODES,DVCWHM,"White/White non-Hispanic men ",M,WH,NULL
IPEDS_CA,2017,CA_CODES,DVCWHT,"White/White non-Hispanic total ",T,WH,NULL
IPEDS_CA,2017,CA_CODES,DVCWHW,"White/White non-Hispanic women ",F,WH,NULL
IPEDS_CA,2014,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,17,Doctor's degree - research/scholarship,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,18,Doctor's degree - professional practice,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,19,Doctor's degree - other,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2014,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2014,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2014,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,17,Doctor's degree - research/scholarship,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,18,Doctor's degree - professional practice,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,19,Doctor's degree - other,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2013,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2013,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2013,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,17,Doctor's degree - research/scholarship,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,18,Doctor's degree - professional practice,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,19,Doctor's degree - other,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2012,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2012,CDISTEDP,-2,"not applicable, Grand total cip(99)",NA,NA,NA
IPEDS_CA,2012,CDISTEDP,1,Yes,NA,NA,NA
IPEDS_CA,2012,CDISTEDP,2,No,NA,NA,NA
IPEDS_CA,2012,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2012,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,17,Doctor's degree - research/scholarship (new degree classification),NA,NA,NA
IPEDS_CA,2011,AWLEVEL,18,Doctor's degree - professional practice (new degree classification),NA,NA,NA
IPEDS_CA,2011,AWLEVEL,19,Doctor's degree - other (new degree classification),NA,NA,NA
IPEDS_CA,2011,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2011,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2011,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2011,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,17,Doctor's degree - research/scholarship (new degree classification),NA,NA,NA
IPEDS_CA,2010,AWLEVEL,18,Doctor's degree - professional practice (new degree classification),NA,NA,NA
IPEDS_CA,2010,AWLEVEL,19,Doctor's degree - other (new degree classification),NA,NA,NA
IPEDS_CA,2010,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2010,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2010,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2010,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,10,First-professional degree (old degree classification),NA,NA,NA
IPEDS_CA,2009,AWLEVEL,11,First-professional certificate (old degree classification),NA,NA,NA
IPEDS_CA,2009,AWLEVEL,17,Doctor's degree - research/scholarship (new degree classification),NA,NA,NA
IPEDS_CA,2009,AWLEVEL,18,Doctor's degree - professional practice (new degree classification),NA,NA,NA
IPEDS_CA,2009,AWLEVEL,19,Doctor's degree - other (new degree classification),NA,NA,NA
IPEDS_CA,2009,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,7,Master's degree,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,8,Post-master's certificate,NA,NA,NA
IPEDS_CA,2009,AWLEVEL,9,Doctor's degree (old degree classification),NA,NA,NA
IPEDS_CA,2009,MAJORNUM,1,First major,NA,NA,NA
IPEDS_CA,2009,MAJORNUM,2,Second major,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,1,Award of less than 1 academic year,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,10,First-professional degree (old degree classification),NA,NA,NA
IPEDS_CA,2008,AWLEVEL,11,First-professional certificate (old degree classification),NA,NA,NA
IPEDS_CA,2008,AWLEVEL,17,Doctor's degree - research/scholarship (new degree classification),NA,NA,NA
IPEDS_CA,2008,AWLEVEL,18,Doctor's degree - professional practice (new degree classification),NA,NA,NA
IPEDS_CA,2008,AWLEVEL,19,Doctor's degree - other (new degree classification),NA,NA,NA
IPEDS_CA,2008,AWLEVEL,2,Award of at least 1 but less than 2 academic years,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,3,Associate's degree,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,4,Award of at least 2 but less than 4 academic years,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,5,Bachelor's degree,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,6,Postbaccalaureate certificate,NA,NA,NA
IPEDS_CA,2008,AWLEVEL,7,Master's degree,NA,NA,NA
